repeat,fold,algo,auc,best,spec
1,8,random_forest,0.7362618432385875,"{""clf__min_samples_leaf"": 10}",M1
1,9,random_forest,0.726959517657192,"{""clf__min_samples_leaf"": 10}",M1
2,0,random_forest,0.7794117647058824,"{""clf__min_samples_leaf"": 10}",M1
2,1,random_forest,0.7807797537619698,"{""clf__min_samples_leaf"": 10}",M1
2,2,random_forest,0.7624829001367989,"{""clf__min_samples_leaf"": 10}",M1
2,3,random_forest,0.7801346801346801,"{""clf__min_samples_leaf"": 10}",M1
2,4,random_forest,0.7875968992248061,"{""clf__min_samples_leaf"": 10}",M1
2,5,random_forest,0.7626184323858742,"{""clf__min_samples_leaf"": 10}",M1
2,6,random_forest,0.7979328165374677,"{""clf__min_samples_leaf"": 10}",M1
2,7,random_forest,0.7820844099913866,"{""clf__min_samples_leaf"": 10}",M1
2,8,random_forest,0.7822566752799311,"{""clf__min_samples_leaf"": 10}",M1
2,9,random_forest,0.7829457364341086,"{""clf__min_samples_leaf"": 10}",M1
3,0,random_forest,0.7672708618331052,"{""clf__min_samples_leaf"": 10}",M1
3,1,random_forest,0.7770177838577291,"{""clf__min_samples_leaf"": 10}",M1
3,2,random_forest,0.8096785225718194,"{""clf__min_samples_leaf"": 10}",M1
3,3,random_forest,0.80993265993266,"{""clf__min_samples_leaf"": 10}",M1
3,4,random_forest,0.7565891472868218,"{""clf__min_samples_leaf"": 10}",M1
3,5,random_forest,0.7615848406546081,"{""clf__min_samples_leaf"": 10}",M1
3,6,random_forest,0.7956933677863911,"{""clf__min_samples_leaf"": 10}",M1
3,7,random_forest,0.7310938845822567,"{""clf__min_samples_leaf"": 10}",M1
3,8,random_forest,0.7366063738156762,"{""clf__min_samples_leaf"": 10}",M1
3,9,random_forest,0.8199827734711456,"{""clf__min_samples_leaf"": 10}",M1
4,0,random_forest,0.7518809849521203,"{""clf__min_samples_leaf"": 10}",M1
4,1,random_forest,0.8219904240766073,"{""clf__min_samples_leaf"": 10}",M1
4,2,random_forest,0.8308823529411765,"{""clf__min_samples_leaf"": 10}",M1
4,3,random_forest,0.7196969696969697,"{""clf__min_samples_leaf"": 10}",M1
4,4,random_forest,0.7679586563307493,"{""clf__min_samples_leaf"": 10}",M1
4,5,random_forest,0.8201550387596899,"{""clf__min_samples_leaf"": 10}",M1
4,6,random_forest,0.79328165374677,"{""clf__min_samples_leaf"": 10}",M1
4,7,random_forest,0.733161068044789,"{""clf__min_samples_leaf"": 10}",M1
4,8,random_forest,0.7977605512489233,"{""clf__min_samples_leaf"": 10}",M1
4,9,random_forest,0.7552110249784668,"{""clf__min_samples_leaf"": 10}",M1
0,0,xgboost,0.7879616963064295,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,1,xgboost,0.8312243502051984,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,2,xgboost,0.7913816689466484,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,3,xgboost,0.7223905723905724,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,4,xgboost,0.7708871662360035,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,5,xgboost,0.8173987941429802,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,6,xgboost,0.7462532299741602,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,7,xgboost,0.7300602928509905,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,8,xgboost,0.7510766580534023,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,9,xgboost,0.7279931093884583,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,0,xgboost,0.8301983584131327,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,1,xgboost,0.7971956224350204,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,2,xgboost,0.7614569083447332,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,3,xgboost,0.7351851851851852,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,4,xgboost,0.7932816537467701,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,5,xgboost,0.7722652885443583,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,6,xgboost,0.8149870801033592,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,7,xgboost,0.7166236003445305,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,8,xgboost,0.7386735572782084,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
1,9,xgboost,0.7150732127476314,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,0,xgboost,0.7493160054719562,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,1,xgboost,0.7735978112175104,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,2,xgboost,0.7783857729138167,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,3,xgboost,0.7686868686868688,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,4,xgboost,0.7769164513350559,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,5,xgboost,0.7507321274763136,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,6,xgboost,0.7676141257536606,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,7,xgboost,0.758139534883721,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,8,xgboost,0.7676141257536605,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
2,9,xgboost,0.7829457364341086,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,0,xgboost,0.7541039671682627,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,1,xgboost,0.7763337893296854,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,2,xgboost,0.7905266757865936,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,3,xgboost,0.7969696969696971,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,4,xgboost,0.758656330749354,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,5,xgboost,0.7674418604651163,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,6,xgboost,0.784151593453919,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,7,xgboost,0.7378122308354866,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,8,xgboost,0.7161068044788976,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
3,9,xgboost,0.8148148148148148,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,0,xgboost,0.7554719562243503,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,1,xgboost,0.8035225718194254,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,2,xgboost,0.7881326949384405,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,3,xgboost,0.7378787878787879,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,4,xgboost,0.7820844099913867,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,5,xgboost,0.8225667527993109,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,6,xgboost,0.7905254091300603,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,7,xgboost,0.7364341085271318,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,8,xgboost,0.7689922480620155,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
4,9,xgboost,0.7460809646856159,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M1
0,0,logistic,0.8197674418604652,"{""clf__C"": 0.1}",M2
0,1,logistic,0.8454172366621068,"{""clf__C"": 0.1}",M2
0,2,logistic,0.7879616963064295,"{""clf__C"": 0.1}",M2
